id,name,description,price,image_url
39,ProteinLab Explosive Pre-Workout,"20 Servings - High energy, focus, and pump effect for intense training.",650,/images/Preworkout.png
40,ProteinLab Explosive Pre-Workout,"20 Servings - High energy, focus, and pump effect for intense training.",650,/images/Preworkout.png
41,ProteinLab Explosive Pre-Workout,"20 Servings - High energy, focus, and pump effect for intense training.",650,/images/Preworkout.png
42,ProteinLab Explosive Pre-Workout,30 Servings - Value pack. Maximum performance and endurance formula.,890,/images/Preworkout.png
43,ProteinLab Explosive Pre-Workout,30 Servings - Value pack. Maximum performance and endurance formula.,890,/images/Preworkout.png
44,ProteinLab Explosive Pre-Workout,30 Servings - Value pack. Maximum performance and endurance formula.,890,/images/Preworkout.png
47,ProteinLab Men’s Performance Multivitamin,Supports natural testosterone levels and improves sleep quality.,420,/images/multivitamin.png
23,ProteinLab Whey Isolate Chocolate 900g,"30 Servings - Pure isolate protein, low fat and carb for fast absorption.",1250,/images/protein1.png
48,ProteinLab Omega-3 Premium,"Pure EPA/DHA for heart, brain health and anti-inflammatory support.",480,/images/omega3.png
35,BCAA Raspberry 150g,30 Servings - 2:1:1 ratio branched-chain amino acids. Faster muscle recovery.,550,/images/bcaa.png
36,BCAA Watermelon 150g,30 Servings - 2:1:1 ratio branched-chain amino acids. Faster muscle recovery.,550,/images/bcaa.png
37,BCAA Raspberry 300g,60 Servings - Value pack. Post-workout recovery and muscle protection.,950,/images/bcaa.png
38,BCAA Watermelon 300g,60 Servings - Value pack. Post-workout recovery and muscle protection.,950,/images/bcaa.png
29,Creatine Unflavored 150g,30 Servings - 100% Pure Micronized Creatine. Increases strength and power.,450,/images/creatine.png
30,Creatine Apple 150g,30 Servings - 100% Pure Micronized Creatine. Increases strength and power.,480,/images/creatine.png
31,Creatine Lemon 150g,30 Servings - 100% Pure Micronized Creatine. Increases strength and power.,480,/images/creatine.png
32,Creatine Unflavored 300g,60 Servings - Value pack. Supports ATP production for performance.,750,/images/creatine.png
33,Creatine Apple 300g,60 Servings - Value pack. Supports ATP production for performance.,790,/images/creatine.png
34,Creatine Lemon 300g,60 Servings - Value pack. Supports ATP production for performance.,790,/images/creatine.png
49,ProteinLab Glucosamine Complex,Advanced joint support formula for flexibility and joint comfort.,650,/images/glucosamine.png
24,ProteinLab Whey Isolate Strawberry 900g,"30 Servings - Pure isolate protein, low fat and carb for fast absorption.",1250,/images/protein1.png
50,ProteinLab 10 Billion Probiotics,Supports digestive balance and healthy intestinal flora.,380,/images/probiotics.png
46,ProteinLab Multivitamin Mini (30 Cap),High potency formula for bone health and immune system support.,290,/images/multivitamin.png
45,ProteinLab Daily Multivitamin A-Z,Complete daily support with 24 essential vitamins and minerals for energy.,350,/images/multivitamin.png
25,ProteinLab Whey Isolate Banana 900g,"30 Servings - Pure isolate protein, low fat and carb for fast absorption.",1250,/images/protein1.png
26,ProteinLab Whey Isolate Chocolate 1800g,60 Servings - Value pack. Maximum protein support and economic use.,2100,/images/protein1.png
27,ProteinLab Whey Isolate Strawberry 1800g,60 Servings - Value pack. Maximum protein support and economic use.,2100,/images/protein1.png
28,ProteinLab Whey Isolate Banana 1800g,60 Servings - Value pack. Maximum protein support and economic use.,2100,/images/protein1.png
